Time,Altitude,Pitch,Q
0,12,28.61,0
0.05,13,90,0.001
1.05,14,90,0.004
2.05,18,89.99,0.017
3.05,25,89.99,0.039
4.05,34,89.99,0.071
5.05,47,89.98,0.114
6.05,62,89.98,0.167
7.05,80,89.97,0.233
8.05,101,89.97,0.31
9.05,126,89.97,0.4
10.05,153,89.96,0.504
11.05,184,89.96,0.622
12.05,218,89.96,0.754
13.05,255,89.95,0.901
14.05,296,89.95,1.064
15.05,340,89.94,1.244
16.05,388,89.94,1.44
17.05,439,89.94,1.654
18.05,495,89.93,1.885
19.05,554,89.93,2.135
20.05,616,89.93,2.404
21.05,683,89.92,2.693
22.05,754,89.92,3.001
23.05,829,89.92,3.329
24.05,908,89.91,3.678
25.05,991,89.91,4.048
26.05,1079,89.9,4.438
27.05,1171,89.9,4.85
28.05,1268,89.9,5.284
29.05,1369,89.89,5.738
30.05,1475,89.89,6.214
31.05,1586,89.89,6.711
32.05,1701,89.88,7.23
33.05,1822,89.88,7.769
34.05,1948,89.88,8.328
35.05,2078,89.18,8.907
36.05,2215,88.26,9.504
37.05,2356,87.35,10.119
38.05,2503,86.43,10.751
39.05,2655,85.51,11.397
40.05,2814,84.59,12.058
41.05,2977,83.67,12.731
42.05,3147,82.76,13.415
43.05,3323,81.84,14.109
44.05,3504,80.92,14.811
45.05,3692,80,15.519
46.05,3885,79.73,16.234
47.05,4085,79.47,16.955
48.05,4291,79.2,17.68
49.05,4504,78.93,18.406
50.05,4723,78.67,19.132
51.05,4949,78.4,19.854
52.05,5181,78.13,20.569
53.05,5420,77.87,21.274
54.05,5667,77.6,21.966
55.05,5920,77.33,22.641
56.05,6180,77.07,23.274
57.05,6448,76.8,23.837
58.05,6722,76.53,24.328
59.05,7002,76.27,24.745
60.05,7289,76,25.085
61.05,7583,75.65,25.348
62.05,7882,75.3,25.534
63.05,8188,74.95,25.643
64.05,8499,74.6,25.675
65.05,8815,74.25,25.634
66.05,9137,73.9,25.544
67.05,9464,73.55,25.425
68.05,9797,73.2,25.278
69.05,10135,72.85,25.104
70.05,10479,72.5,24.902
71.05,10828,72.15,24.674
72.05,11183,71.8,24.421
73.05,11544,71.45,24.145
74.05,11911,71.1,23.847
75.05,12283,70.75,23.532
76.05,12662,70.4,23.217
77.05,13047,70.05,22.923
78.05,13438,69.7,22.65
79.05,13837,69.35,22.401
80.05,14243,69,21.246
81.05,14657,69.08,20.813
82.05,15079,69.09,20.384
83.05,15510,69.09,19.959
84.05,15950,69.1,19.534
85.05,16399,69.1,19.107
86.05,16859,69.11,18.663
87.05,17329,69.11,18.193
88.05,17809,69.12,17.699
89.05,18299,69.12,17.182
90.05,18800,69.13,16.646
91.05,19312,68.66,16.093
92.05,19835,68.2,15.526
93.05,20369,67.74,14.093
94.05,20914,67.28,13.665
95.05,21471,66.82,13.225
96.05,22039,66.36,12.774
97.05,22618,65.9,12.315
98.05,23209,65.44,11.849
99.05,23812,64.98,11.378
100.05,24426,64.52,10.904
101.05,25053,64.06,10.429
102.05,25692,63.59,9.955
103.05,26343,63.13,9.483
104.05,27006,62.67,9.016
105.05,27682,62.21,8.554
106.05,28370,61.75,8.099
107.05,29071,61.29,7.653
108.05,29784,60.83,7.217
109.05,30511,60.37,6.791
110.05,31250,59.91,6.377
111.05,32003,59.45,5.976
112.05,32768,58.98,5.589
113.05,33547,58.52,5.215
114.05,34339,58.06,4.856
115.05,35144,57.6,4.513
116.05,35963,57.14,4.185
117.05,36796,56.68,3.872
118.05,37643,56.22,3.575
119.05,38503,55.76,3.294
120.05,39377,55.3,3.028
121.05,40265,54.84,2.778
122.05,41168,54.38,2.543
123.05,42085,53.91,2.322
124.05,43016,53.45,2.117
125.05,43961,52.99,1.925
126.05,44921,52.53,1.746
127.05,45896,52.07,1.581
128.05,46885,51.61,1.428
129.05,47890,51.15,1.287
130.05,48909,50.69,1.157
131.05,49943,50.23,1.038
132.05,50993,49.77,0.93
